#Brown University Keck/NASA Relab Spectrum LS-JBA-088-M/CLS171
#Wavelength(micron)	Reflectance
2.098	0.265000
2.101	0.265000
2.104	0.265000
2.107	0.265000
2.11	0.266000
2.113	0.266333
2.116	0.267000
2.119	0.267667
2.122	0.268000
2.125	0.269000
2.128	0.269000
2.131	0.269000
2.134	0.269667
2.137	0.270000
2.14	0.270000
2.143	0.270333
2.146	0.271000
2.149	0.271000
2.152	0.271000
2.155	0.271000
2.158	0.271000
2.161	0.271000
2.164	0.271667
2.167	0.272000
2.17	0.273000
2.173	0.273000
2.176	0.273000
2.179	0.273667
2.182	0.274000
2.185	0.274000
2.188	0.274333
2.191	0.275000
2.194	0.275000
2.197	0.275000
2.2	0.276000
2.203	0.276000
2.206	0.276000
2.209	0.277333
2.212	0.278000
2.215	0.278000
2.218	0.278000
2.221	0.278000
2.224	0.278667
2.227	0.279000
2.23	0.279000
2.233	0.279333
2.236	0.280000
2.239	0.280000
2.242	0.280000
2.245	0.281000
2.248	0.281000
2.251	0.281000
2.254	0.281667
2.257	0.282000
2.26	0.283000
2.263	0.283000
2.266	0.283000
2.269	0.284333
2.272	0.285000
2.275	0.286000
2.278	0.286000
2.281	0.286000
2.284	0.286667
2.287	0.287000
2.29	0.288000
2.293	0.288000
2.296	0.288000
2.299	0.288667
2.302	0.289000
2.305	0.289000
2.308	0.289000
2.311	0.289000
2.314	0.289667
2.317	0.290000
2.32	0.291000
2.323	0.291000
2.326	0.291000
2.329	0.291667
2.332	0.292000
2.335	0.293000
2.338	0.293333
2.341	0.294000
2.344	0.294667
2.347	0.295000
2.35	0.296000
2.353	0.296000
2.356	0.296000
2.359	0.296000
2.362	0.296000
2.365	0.297000
2.368	0.297000
2.371	0.297000
2.374	0.297000
2.377	0.297000
2.38	0.297000
2.383	0.297333
2.386	0.298000
2.389	0.298667
2.392	0.299000
2.395	0.300000
2.398	0.300000
2.401	0.300000
2.404	0.300000
2.407	0.300000
2.41	0.300000
2.413	0.300333
2.416	0.301000
2.419	0.302333
2.422	0.303000
2.425	0.303000
2.428	0.303000
2.431	0.303000
2.434	0.303667
2.437	0.304000
2.44	0.305000
2.443	0.305000
2.446	0.305000
2.449	0.305000
2.452	0.305000
2.455	0.306000
2.458	0.306000
2.461	0.306000
2.464	0.306000
2.467	0.306000
2.47	0.307000
2.473	0.307000
2.476	0.307000
2.479	0.307667
2.482	0.308000
2.485	0.308000
2.488	0.308000
2.491	0.308000
2.494	0.308667
2.497	0.309000
2.5	0.309000
2.503	0.309000
2.506	0.309000
2.509	0.310333
2.512	0.311000
2.515	0.311000
