#This header contains the Wherli spectrum that is used to derive the ROLO irradiance from the ROLO
#reflectance. The format of the spectrum is consistent with the original one.
#  Wehrli, C. Extraterrestrial Solar Spectrum, Publication n no. 661155
#  Physikalisch-Meteorologisches Observatorium + World Radiation
#  Center (PMO/WRC) Davos Dorf, Switzerland, July 1985
#   Please note that the units of are changed to the GIRO units in
#   GIRO_ROLO_REF_SOL_CHAN.c
#Wavelengths in [nanometer]
#wl(nm)	irr(W/(nm*m^2))
 1447.5	 3.184E-001
 1452.5	 3.231E-001
 1457.5	 3.069E-001
 1462.5	 3.166E-001
 1467.5	 3.114E-001
 1472.5	 3.112E-001
 1477.5	 3.069E-001
 1482.5	 3.027E-001
 1487.5	 2.985E-001
 1492.5	 3.033E-001
 1497.5	 3.000E-001
 1502.5	 2.958E-001
 1507.5	 2.946E-001
 1512.5	 2.904E-001
 1517.5	 2.902E-001
 1522.5	 2.860E-001
 1527.5	 2.897E-001
 1532.5	 2.816E-001
 1537.5	 2.745E-001
 1542.5	 2.752E-001
 1547.5	 2.740E-001
 1552.5	 2.728E-001
 1557.5	 2.716E-001
 1562.5	 2.695E-001
 1567.5	 2.633E-001
 1572.5	 2.602E-001
 1577.5	 2.590E-001
 1582.5	 2.549E-001
 1587.5	 2.517E-001
 1592.5	 2.456E-001
 1597.5	 2.464E-001
 1602.5	 2.473E-001
 1607.5	 2.424E-001
 1612.5	 2.444E-001
 1617.5	 2.434E-001
 1622.5	 2.404E-001
 1627.5	 2.443E-001
 1632.5	 2.414E-001
 1637.5	 2.375E-001
 1642.5	 2.336E-001
 1647.5	 2.345E-001
 1652.5	 2.335E-001
 1657.5	 2.335E-001
 1662.5	 2.326E-001
 1667.5	 2.286E-001
 1672.5	 2.276E-001
 1677.5	 2.198E-001
 1682.5	 2.208E-001
 1687.5	 2.188E-001
 1692.5	 2.188E-001
 1697.5	 2.139E-001
 1702.5	 2.168E-001
 1707.5	 2.119E-001
 1712.5	 2.031E-001
 1717.5	 2.119E-001
 1722.5	 2.050E-001
 1727.5	 1.962E-001
 1732.5	 1.903E-001
 1737.5	 1.893E-001
 1742.5	 1.913E-001
 1747.5	 1.854E-001
 1752.5	 1.874E-001
 1757.5	 1.893E-001
 1762.5	 1.844E-001
 1767.5	 1.825E-001
 1772.5	 1.766E-001
 1777.5	 1.726E-001
 1782.5	 1.707E-001
 1787.5	 1.697E-001
 1792.5	 1.687E-001
 1797.5	 1.726E-001
 1802.5	 1.687E-001
 1807.5	 1.677E-001
 1812.5	 1.599E-001
 1817.5	 1.599E-001
 1822.5	 1.589E-001
 1827.5	 1.559E-001
 1832.5	 1.559E-001
 1837.5	 1.500E-001
 1842.5	 1.530E-001
 1847.5	 1.510E-001
 1852.5	 1.481E-001
 1857.5	 1.451E-001
 1862.5	 1.432E-001
 1867.5	 1.432E-001
 1872.5	 1.353E-001
 1877.5	 1.353E-001
 1882.5	 1.402E-001
 1887.5	 1.383E-001
 1892.5	 1.373E-001
 1897.5	 1.383E-001
 1902.5	 1.334E-001
 1907.5	 1.363E-001
 1912.5	 1.383E-001
 1917.5	 1.363E-001
 1922.5	 1.343E-001
 1927.5	 1.324E-001
 1932.5	 1.324E-001
 1937.5	 1.314E-001
 1942.5	 1.294E-001
 1947.5	 1.275E-001
 1952.5	 1.265E-001
 1957.5	 1.216E-001
 1962.5	 1.255E-001
 1967.5	 1.255E-001
 1972.5	 1.245E-001
 1977.5	 1.294E-001
 1982.5	 1.245E-001
 1987.5	 1.225E-001
 1992.5	 1.206E-001
 1997.5	 1.225E-001
 2002.5	 1.157E-001
 2007.5	 1.098E-001
 2012.5	 1.137E-001
 2017.5	 1.118E-001
 2022.5	 1.127E-001
 2027.5	 1.127E-001
 2032.5	 1.098E-001
 2037.5	 1.068E-001
 2042.5	 1.068E-001
 2047.5	 1.078E-001
 2052.5	 1.039E-001
 2057.5	 1.019E-001
 2062.5	 9.998E-002
 2067.5	 9.508E-002
 2072.5	 9.899E-002
 2077.5	 1.010E-001
 2082.5	 9.703E-002
 2087.5	 9.606E-002
 2092.5	 9.800E-002
 2097.5	 9.114E-002
 2102.5	 9.310E-002
 2107.5	 9.310E-002
 2112.5	 8.723E-002
 2117.5	 9.016E-002
 2122.5	 8.722E-002
 2127.5	 8.722E-002
 2132.5	 8.722E-002
 2137.5	 8.525E-002
 2142.5	 9.015E-002
 2147.5	 8.230E-002
 2152.5	 8.133E-002
 2157.5	 7.937E-002
 2162.5	 8.229E-002
 2167.5	 8.036E-002
 2172.5	 8.229E-002
 2177.5	 7.740E-002
 2182.5	 7.544E-002
 2187.5	 6.761E-002
 2192.5	 7.250E-002
 2197.5	 7.348E-002
 2202.5	 8.228E-002
 2207.5	 7.544E-002
 2212.5	 7.544E-002
 2217.5	 7.250E-002
 2222.5	 7.739E-002
 2227.5	 7.544E-002
 2232.5	 7.543E-002
 2237.5	 6.466E-002
 2242.5	 5.976E-002
 2247.5	 7.152E-002
 2252.5	 7.543E-002
 2257.5	 7.543E-002
 2262.5	 7.053E-002
 2267.5	 7.151E-002
 2272.5	 6.465E-002
 2277.5	 6.366E-002
 2282.5	 6.856E-002
 2287.5	 6.563E-002
 2292.5	 6.563E-002
 2297.5	 6.464E-002
 2302.5	 6.563E-002
 2307.5	 6.268E-002
 2312.5	 6.170E-002
 2317.5	 5.779E-002
 2322.5	 5.289E-002
 2327.5	 5.485E-002
 2332.5	 5.485E-002
 2337.5	 5.876E-002
 2342.5	 5.778E-002
 2347.5	 5.974E-002
 2352.5	 6.071E-002
 2357.5	 6.267E-002
 2362.5	 6.463E-002
 2367.5	 6.071E-002
 2372.5	 6.071E-002
 2377.5	 5.681E-002
 2382.5	 5.484E-002
 2387.5	 5.973E-002
 2392.5	 5.875E-002
 2397.5	 5.778E-002
 2402.5	 5.385E-002
 2407.5	 5.483E-002
 2412.5	 5.582E-002
 2417.5	 5.288E-002
 2422.5	 5.680E-002
 2427.5	 5.385E-002
 2432.5	 5.777E-002
 2437.5	 5.385E-002
 2442.5	 5.092E-002
