#Wavelength,	QER1,	QEG1,	QEB1,	QER2,	QEG2,	QEB2,	Scout,	Telescope,	total 
5.200000000000000000e+02 3.400000000000000244e-02 3.140000000000000013e-01 1.650000000000000078e-01 1.400000000000000029e-02 3.360000000000000209e-01 1.419999999999999873e-01 9.920421600000000062e-01 7.649200000000000443e-01 3.733457814013824150e-01
5.250000000000000000e+02 3.200000000000000067e-02 3.360000000000000209e-01 1.340000000000000080e-01 1.799999999999999864e-02 3.459999999999999742e-01 1.140000000000000041e-01 9.885134125000000216e-01 7.687500000000000444e-01 3.632416098407812988e-01
5.300000000000000000e+02 3.099999999999999978e-02 3.420000000000000262e-01 1.059999999999999970e-01 1.799999999999999864e-02 3.469999999999999751e-01 9.400000000000000022e-02 9.944969940000000230e-01 7.725800000000000445e-01 3.526627758196546614e-01
5.350000000000000000e+02 3.200000000000000067e-02 3.469999999999999751e-01 8.500000000000000611e-02 1.400000000000000029e-02 3.449999999999999734e-01 8.100000000000000255e-02 9.844147490999999306e-01 7.764100000000000446e-01 3.362961603534416200e-01
5.400000000000000000e+02 3.300000000000000155e-02 3.459999999999999742e-01 6.600000000000000311e-02 8.999999999999999320e-03 3.449999999999999734e-01 7.000000000000000666e-02 9.926889037999999665e-01 7.802400000000000446e-01 3.284030902875866853e-01
5.450000000000000000e+02 3.400000000000000244e-02 3.410000000000000253e-01 4.900000000000000189e-02 6.000000000000000125e-03 3.390000000000000235e-01 5.999999999999999778e-02 9.891111755000000505e-01 7.840700000000000447e-01 3.140906217465854744e-01
5.500000000000000000e+02 3.300000000000000155e-02 3.330000000000000182e-01 3.400000000000000244e-02 4.000000000000000083e-03 3.260000000000000120e-01 4.900000000000000189e-02 9.925152588000000220e-01 7.879000000000000448e-01 2.963790507428291088e-01
5.550000000000000000e+02 3.099999999999999978e-02 3.200000000000000067e-01 2.299999999999999961e-02 4.000000000000000083e-03 3.130000000000000004e-01 3.899999999999999994e-02 9.912794495000000206e-01 7.884900000000000242e-01 2.782545601965067950e-01
5.600000000000000000e+02 2.800000000000000058e-02 3.019999999999999907e-01 1.499999999999999944e-02 5.000000000000000104e-03 2.969999999999999862e-01 2.900000000000000147e-02 9.919753264999999764e-01 7.890800000000000036e-01 2.590895518000592146e-01
5.650000000000000000e+02 2.699999999999999969e-02 2.889999999999999791e-01 1.000000000000000021e-02 7.000000000000000146e-03 2.780000000000000249e-01 2.299999999999999961e-02 9.919813537999999653e-01 7.896699999999999831e-01 2.412680780218157961e-01
5.700000000000000000e+02 2.900000000000000147e-02 2.700000000000000178e-01 7.000000000000000146e-03 1.600000000000000033e-02 2.610000000000000098e-01 1.899999999999999953e-02 9.879013061999999401e-01 7.902599999999999625e-01 2.310868703263331825e-01
5.750000000000000000e+02 3.699999999999999817e-02 2.479999999999999982e-01 5.000000000000000104e-03 4.700000000000000011e-02 2.399999999999999911e-01 1.700000000000000122e-02 9.944419861000000083e-01 7.908500000000000529e-01 2.390821511909842767e-01
